                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55023,                0.94415,                0.90926,                0.99781,                      1,                  0.995,                0.92338,                0.38815,                0.59383,                0.87487,                0.00012,                0.00012,                0.00012
                      2,                0.53078,                0.92658,                0.90958,                0.99832,                      1,                  0.995,                0.91371,                0.43029,                0.62085,                0.87441,              0.0002497,              0.0002497,              0.0002497
                      3,                0.62019,                0.94251,                0.94031,                0.99821,                      1,                  0.995,                0.93752,                 0.3846,                0.58332,                0.87113,             0.00036832,             0.00036832,             0.00036832
                      4,                0.60935,                0.97314,                0.92043,                0.99836,                      1,                  0.995,                0.89715,                0.45131,                0.56884,                0.89691,             0.00047585,             0.00047585,             0.00047585
                      5,                 0.6321,                0.94281,                0.93099,                0.99845,                      1,                  0.995,                0.88715,                0.50242,                0.53316,                0.90115,             0.00057229,             0.00057229,             0.00057229
                      6,                0.59445,                0.96191,                0.91853,                0.99831,                      1,                  0.995,                0.89941,                0.45987,                0.52244,                0.88986,             0.00065764,             0.00065764,             0.00065764
                      7,                0.60647,                0.88904,                  0.898,                0.99913,                      1,                  0.995,                0.89596,                0.46951,                0.52123,                0.88404,              0.0007319,              0.0007319,              0.0007319
                      8,                0.60118,                0.88281,                0.90668,                      1,                0.99922,                  0.995,                0.87078,                0.52598,                0.57774,                0.89905,             0.00079508,             0.00079508,             0.00079508
                      9,                0.62139,                0.84563,                 0.9011,                0.99766,                      1,                  0.995,                0.86795,                0.59132,                0.62252,                0.91095,             0.00084717,             0.00084717,             0.00084717
                     10,                0.59538,                0.80788,                0.89663,                0.99635,                      1,                  0.995,                0.87829,                0.54589,                0.63763,                0.90524,             0.00088817,             0.00088817,             0.00088817
                     11,                0.61728,                0.83735,                0.91585,                 0.9955,                      1,                  0.995,                0.89821,                0.52444,                0.82877,                0.91475,             0.00091808,             0.00091808,             0.00091808
                     12,                0.62156,                0.82476,                0.93677,                0.99623,                      1,                  0.995,                0.84702,                0.55242,                0.69769,                0.93644,              0.0009369,              0.0009369,              0.0009369
                     13,                 0.5939,                0.82011,                0.89073,                0.99967,                      1,                  0.995,                0.85619,                0.57192,                0.64289,                 0.9315,             0.00094464,             0.00094464,             0.00094464
                     14,                0.60183,                0.79952,                0.91054,                      1,                0.99812,                  0.995,                0.84446,                0.66882,                0.62222,                0.95229,             0.00094129,             0.00094129,             0.00094129
                     15,                0.57407,                0.73566,                0.86512,                0.96541,                 0.9968,                0.99397,                0.90686,                0.51025,                0.57579,                0.89676,              0.0008912,              0.0008912,              0.0008912
                     16,                0.61168,                0.75631,                0.91575,                0.99653,                0.96429,                 0.9921,                0.93445,                0.39355,                0.50186,                0.86764,               0.000812,               0.000812,               0.000812
                     17,                0.55554,                0.72324,                0.92373,                0.99664,                0.96429,                  0.993,                0.91181,                0.39558,                0.49718,                0.87486,              0.0007328,              0.0007328,              0.0007328
                     18,                0.52615,                0.69093,                0.86556,                0.99965,                      1,                  0.995,                0.91873,                0.43953,                 0.4915,                0.88304,              0.0006536,              0.0006536,              0.0006536
                     19,                0.52174,                0.68136,                0.86789,                0.99805,                      1,                  0.995,                0.90148,                0.44014,                0.46478,                0.88102,              0.0005744,              0.0005744,              0.0005744
                     20,                0.47449,                0.63417,                0.86573,                0.99802,                      1,                  0.995,                 0.9347,                0.41022,                 0.4288,                0.87726,              0.0004952,              0.0004952,              0.0004952
                     21,                0.49963,                0.63919,                 0.8596,                0.99807,                      1,                  0.995,                0.92776,                0.39542,                0.42058,                0.87547,               0.000416,               0.000416,               0.000416
                     22,                 0.4593,                0.62277,                 0.8499,                0.99806,                      1,                  0.995,                0.91894,                  0.377,                0.41863,                0.86993,              0.0003368,              0.0003368,              0.0003368
                     23,                0.45768,                0.60449,                0.83807,                0.99809,                      1,                  0.995,                0.93153,                0.36297,                0.40687,                0.86447,              0.0002576,              0.0002576,              0.0002576
                     24,                0.48428,                0.61119,                0.86937,                0.99807,                      1,                  0.995,                0.92948,                0.35521,                0.41098,                0.86353,              0.0001784,              0.0001784,              0.0001784
                     25,                0.42299,                0.58355,                 0.8266,                0.99808,                      1,                  0.995,                0.93337,                0.35083,                0.40811,                0.86303,               9.92e-05,               9.92e-05,               9.92e-05
