                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5715,                 2.7773,                 1.4496,                0.42839,                0.32922,                0.28372,                0.11275,                 1.5733,                 3.2809,                 1.4455,             0.00065833,             0.00065833,             0.00065833
                      2,                 1.3991,                 1.7289,                 1.3128,                 0.4355,                0.33877,                0.32075,                0.20392,                 1.4272,                 5.9128,                 1.4764,              0.0013119,              0.0013119,              0.0013119
                      3,                 1.3657,                 1.4125,                 1.3113,                0.96362,                0.70732,                0.81164,                0.63269,                0.93867,                 1.9098,                 1.1489,              0.0019522,              0.0019522,              0.0019522
                      4,                  1.285,                 1.1497,                  1.274,                0.94856,                 0.8996,                0.96783,                0.71629,                0.99846,                0.75628,                 1.1162,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3297,                 1.0696,                 1.2968,                0.97583,                0.98498,                0.99452,                0.69591,                  1.251,                0.76523,                 1.2553,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.236,                0.95568,                 1.2689,                0.72635,                0.87805,                 0.9419,                0.70336,                 1.0138,                 1.3412,                 1.1581,               0.001901,               0.001901,               0.001901
                      7,                 1.2116,                0.87032,                 1.2475,                      1,                0.99905,                  0.995,                0.79036,                0.72829,                0.47023,                 1.0449,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1445,                0.79089,                 1.1898,                0.99813,                      1,                  0.995,                0.75712,                0.88977,                0.47348,                 1.0779,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.173,                0.76992,                  1.222,                0.98321,                0.97561,                0.99452,                0.79183,                0.82336,                0.45869,                 1.0154,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0974,                0.73101,                 1.1781,                0.77126,                0.82927,                0.88308,                0.63787,                0.99136,                0.97489,                 1.1263,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1163,                0.72632,                 1.1902,                0.99118,                0.97561,                0.97936,                0.60516,                 1.2083,                0.63506,                 1.2556,               0.001802,               0.001802,               0.001802
                     12,                 1.0936,                0.69084,                 1.1841,                0.99793,                      1,                  0.995,                0.78823,                0.75918,                0.46546,                 1.0041,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0766,                0.67105,                 1.1813,                0.95131,                      1,                0.99174,                0.82131,                0.70336,                0.43561,                0.99414,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0036,                0.65239,                  1.132,                0.99808,                0.92683,                0.96931,                0.74898,                0.90898,                0.49984,                 1.0903,              0.0017426,              0.0017426,              0.0017426
                     15,                0.98414,                0.65065,                 1.1258,                0.99814,                0.97561,                 0.9889,                0.77028,                0.80525,                0.42901,                 1.0311,              0.0017228,              0.0017228,              0.0017228
                     16,                0.96321,                0.63537,                 1.1058,                0.99835,                      1,                  0.995,                0.80984,                0.70073,                0.36632,                 1.0183,               0.001703,               0.001703,               0.001703
                     17,                0.92592,                0.58626,                 1.0925,                0.99448,                      1,                  0.995,                0.82758,                0.68289,                0.42609,                0.98535,              0.0016832,              0.0016832,              0.0016832
                     18,                0.89839,                0.57389,                 1.0934,                0.99789,                      1,                  0.995,                0.76335,                 1.0076,                0.43835,                 1.1543,              0.0016634,              0.0016634,              0.0016634
                     19,                0.93157,                0.58626,                 1.0992,                 0.9986,                      1,                  0.995,                0.82626,                 0.7084,                0.41099,                 1.0061,              0.0016436,              0.0016436,              0.0016436
                     20,                0.88001,                0.56445,                 1.0747,                0.99878,                      1,                  0.995,                0.82033,                0.84264,                0.41213,                 1.0605,              0.0016238,              0.0016238,              0.0016238
                     21,                0.93303,                 0.5708,                 1.1019,                0.99746,                      1,                  0.995,                0.82327,                0.66449,                0.37172,                0.98346,               0.001604,               0.001604,               0.001604
                     22,                0.85536,                0.56238,                 1.0747,                0.99802,                      1,                  0.995,                0.84205,                0.65275,                 0.3746,                0.98369,              0.0015842,              0.0015842,              0.0015842
                     23,                0.85133,                0.53072,                 1.0718,                0.99911,                      1,                  0.995,                0.59154,                 1.6038,                0.55252,                  1.488,              0.0015644,              0.0015644,              0.0015644
                     24,                0.83438,                0.51287,                 1.0511,                0.99922,                      1,                  0.995,                0.85401,                0.63107,                 0.3174,                0.96709,              0.0015446,              0.0015446,              0.0015446
                     25,                0.78558,                0.49946,                 1.0305,                0.99856,                      1,                  0.995,                0.86538,                0.65134,                0.33508,                0.96422,              0.0015248,              0.0015248,              0.0015248
                     26,                0.81191,                 0.5191,                 1.0458,                0.99857,                      1,                  0.995,                0.87235,                0.58059,                0.31146,                 0.9463,               0.001505,               0.001505,               0.001505
                     27,                0.78376,                0.50676,                 1.0361,                0.99897,                      1,                  0.995,                0.87297,                0.60633,                0.33049,                0.96731,              0.0014852,              0.0014852,              0.0014852
                     28,                0.77284,                0.49609,                 1.0206,                0.99865,                0.97561,                0.98013,                 0.8353,                0.60324,                0.33363,                 0.9751,              0.0014654,              0.0014654,              0.0014654
                     29,                0.73984,                0.47695,                 1.0096,                0.99849,                      1,                  0.995,                0.86975,                0.60336,                0.31106,                0.96249,              0.0014456,              0.0014456,              0.0014456
                     30,                0.76308,                0.48888,                 1.0286,                      1,                0.99889,                  0.995,                0.82588,                0.64007,                0.32582,                0.97334,              0.0014258,              0.0014258,              0.0014258
                     31,                0.74503,                0.48253,                 1.0107,                0.99876,                      1,                  0.995,                0.88033,                0.59738,                0.30937,                0.95402,               0.001406,               0.001406,               0.001406
                     32,                0.73606,                0.47889,                  1.011,                      1,                 0.9991,                  0.995,                0.85374,                0.61826,                0.33117,                0.99128,              0.0013862,              0.0013862,              0.0013862
                     33,                0.73395,                0.47249,                 1.0119,                      1,                0.99779,                  0.995,                0.86774,                0.61372,                0.35114,                0.97561,              0.0013664,              0.0013664,              0.0013664
                     34,                0.71686,                0.45465,                0.99385,                0.99896,                      1,                  0.995,                0.84531,                0.70108,                0.31805,                0.95349,              0.0013466,              0.0013466,              0.0013466
                     35,                0.73765,                0.47254,                 1.0039,                0.99853,                      1,                  0.995,                0.87676,                0.58592,                0.28446,                0.95154,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.7021,                 0.4603,                0.99142,                 0.9986,                      1,                  0.995,                0.87572,                0.58463,                0.29133,                0.96501,               0.001307,               0.001307,               0.001307
                     37,                0.70469,                 0.4487,                 1.0007,                0.99886,                      1,                  0.995,                0.87841,                0.58572,                 0.2979,                0.96086,              0.0012872,              0.0012872,              0.0012872
                     38,                0.69907,                0.44435,                0.99501,                0.99864,                      1,                  0.995,                0.88619,                0.60203,                0.29229,                0.98575,              0.0012674,              0.0012674,              0.0012674
                     39,                0.70088,                0.45329,                0.98944,                0.99849,                      1,                  0.995,                0.86655,                0.68201,                0.31629,                 1.0088,              0.0012476,              0.0012476,              0.0012476
                     40,                0.65576,                0.43407,                0.97373,                0.99839,                      1,                  0.995,                0.85849,                0.62529,                0.31087,                0.97437,              0.0012278,              0.0012278,              0.0012278
                     41,                0.61365,                 0.4114,                0.95306,                0.99889,                      1,                  0.995,                0.89229,                 0.4962,                0.27369,                0.91836,               0.001208,               0.001208,               0.001208
                     42,                0.65276,                0.41736,                0.96883,                0.99937,                      1,                  0.995,                 0.8731,                0.57395,                0.28934,                0.95405,              0.0011882,              0.0011882,              0.0011882
                     43,                0.65952,                0.41749,                0.96891,                      1,                0.99966,                  0.995,                0.88898,                0.54466,                0.28118,                0.94951,              0.0011684,              0.0011684,              0.0011684
